#{"t_start": 1775368365.7121854, "env_id": "None"}
r,l,t
997.970832,309,638.412491
1000.658391,309,639.342524
1009.470272,311,640.079042
1007.134707,312,640.83862
965.299789,309,641.609998
1014.289587,314,642.387913
989.023803,308,643.215554
1005.092656,311,645.599807
993.277492,310,646.356124
1019.586704,310,647.127215
1021.469963,316,647.921072
991.702768,313,648.849198
1004.373106,310,649.818341
995.636418,307,650.753213
1010.521247,311,653.31933
1003.876955,310,654.24921
1007.349568,310,655.15094
997.034408,307,656.175766
1005.22241,311,657.073808
983.660127,309,658.030473
1013.848831,310,660.599542
998.519955,316,661.409057
998.909868,314,662.236912
1015.093676,314,663.056412
1016.218368,309,663.846016
987.298232,309,664.641947
1010.284568,309,665.414588
1029.843392,319,667.715144
1005.804463,313,668.462328
1022.192802,318,669.337465
1026.194794,312,670.270302
1018.655405,316,671.167145
955.136464,319,672.124351
1008.471916,314,674.709355
998.101167,312,675.605626
1025.18433,314,676.574517
1040.923844,320,677.521959
990.260751,313,678.489271
1009.283003,313,679.427147
1001.564673,315,680.333317
1001.74353,314,682.983497
1014.081388,317,683.956046
1030.536678,319,684.789743
1023.407626,319,685.700435
1037.997276,317,686.634002
1003.056567,314,687.575976
1036.364848,317,690.201456
1041.145169,316,691.123165
1016.656196,316,692.044879
999.277872,311,692.806503
1014.867924,316,693.583542
1025.347428,318,694.379538
1039.388596,318,695.157534
1025.222201,320,697.474007
1041.010203,321,698.22896
1036.827655,317,699.010732
1035.629081,319,699.879281
1041.401856,317,700.821242
1039.166447,320,701.789657
1032.111251,318,704.373053
1014.046444,315,705.135508
1054.65803,323,705.888692
1038.042122,320,706.740585
1031.760497,321,707.702555
1046.613258,320,708.652781
1041.62253,320,711.083697
1033.44883,322,711.940168
1036.023985,321,712.926023
1028.04968,322,713.879714
1048.9318,322,714.836114
1029.600839,318,715.716937
1029.724752,317,716.47783
1049.375692,320,718.766573
1035.0353,319,719.502538
1043.580654,320,720.268343
1042.060317,321,721.030301
1014.167763,320,721.815868
1033.253603,318,722.577824
1045.307987,321,724.995711
1062.207839,323,725.935551
1050.213678,321,726.921523
1039.386234,323,727.891575
1044.856697,319,728.849831
1039.697636,317,729.631607
1056.271604,324,730.392218
1036.96492,319,733.038803
1051.985031,323,733.979868
1039.625479,319,734.70699
1047.823458,323,735.450516
1049.232687,318,736.217952
1043.365648,318,736.990195
1048.131122,324,739.326195
1051.16475,322,740.060626
1032.566125,319,740.805811
1043.146883,322,741.569828
1056.799646,322,742.350354
1062.495432,323,743.178296
1033.227745,315,745.536691
1052.988331,321,746.335819
1076.643321,324,747.086789
1046.292873,318,747.873538
1058.543511,325,748.654277
1051.185758,320,749.44291
1064.938718,323,750.191466
1063.187818,320,752.613121
1070.403655,324,753.522095
1076.196738,325,754.445029
1066.469947,324,755.351841
1066.286407,323,756.142581
1059.984573,322,756.970131
1061.136544,324,759.5939
1065.948246,323,760.4268
1075.626007,326,761.217957
1078.131219,325,761.977596
1077.645383,326,762.792483
1063.929266,322,763.817461
1060.730302,324,766.448447
1070.339991,325,767.224169
1063.601928,323,767.983305
1060.338544,323,768.738264
1073.417527,324,769.488496
1072.538957,326,770.230727
1082.877634,324,770.974431
1069.958293,325,773.266603
1066.989152,324,773.999498
1080.440082,328,774.781334
1066.405729,322,775.717003
1079.35695,326,776.634943
1081.54647,328,777.613838
1074.393673,325,780.08278
1081.809653,325,780.883999
1076.770493,325,781.667557
1082.239856,325,782.538565
1100.862814,328,783.462373
1080.962082,325,784.397212
1078.165534,326,786.870133
1098.609611,327,787.623229
1061.670689,325,788.396025
1082.841578,326,789.166303
1059.50633,322,790.036062
1074.399519,324,790.99535
1077.365138,326,791.971136
1076.383674,324,794.593539
1089.538975,325,795.380454
1084.215248,328,796.185101
1063.565714,321,797.086987
1075.041324,324,797.984907
1066.759192,327,798.930307
1079.796111,323,801.359844
1073.798806,321,802.13358
1081.482189,326,802.889429
1090.519044,326,803.823335
1093.373873,328,804.737214
1078.315139,325,805.629905
1090.266861,325,808.047846
1082.82611,326,808.815793
1089.883373,326,809.582496
1086.779341,326,810.337926
1087.831092,327,811.079971
1065.299969,323,811.820172
1067.693717,323,812.563895
1094.280081,327,814.890826
1081.235509,325,815.920862
1063.76884,323,816.867364
1096.308717,327,817.785752
1106.297618,328,818.610748
1081.564497,327,819.338432
1094.492188,327,821.71212
1097.346569,329,822.529144
1112.513736,329,823.538941
1084.446014,330,824.482686
1065.00307,328,825.438191
1086.546543,326,826.243185
1084.943672,327,828.797188
1060.446796,328,829.748336
1119.9105,331,830.574515
1083.865684,326,831.335428
1087.606141,326,832.092368
1096.600575,329,832.861084
1091.263652,328,835.399421
1082.902821,325,836.429719
1088.578586,328,837.267046
1082.914303,327,838.107811
1101.711781,327,838.98905
1106.449308,329,839.950431
1113.666276,332,840.832927
1120.135618,332,843.41456
1094.510344,327,844.398269
1111.261664,330,845.38173
1099.421299,328,846.255862
1107.433043,330,847.169369
1107.001849,329,848.029173
1100.680367,327,850.588701
1102.678808,331,851.482127
1095.948215,329,852.521969
1103.250909,329,853.423996
1113.657955,329,854.390328
1097.706315,327,855.3346
1099.750968,326,858.373291
1110.5837,330,859.308736
1111.851659,330,860.253002
1100.692721,331,861.253735
1102.384692,329,862.149028
1115.89472,329,863.048884
1095.450026,325,865.775051
1107.030707,328,866.769575
1103.104575,329,867.717692
1093.926627,326,868.616807
1105.688274,327,869.495772
1100.514992,329,870.415085
1107.091922,331,873.152103
1089.95887,325,874.101131
1103.771991,329,875.034894
1099.192817,327,875.976263
1109.068697,331,876.888899
1108.663136,329,877.782476
1106.849448,328,878.731995
1115.742607,331,881.483696
1103.214471,329,882.403089
1102.696194,328,883.376175
1108.842989,329,884.334088
1088.543865,328,885.239503
1104.757935,330,886.132897
1113.078993,332,888.981921
1107.367931,331,889.956499
1095.805413,327,891.015846
1111.181698,331,891.988312
1118.588995,330,892.905539
1115.115898,330,893.904849
1119.952622,329,896.961017
1111.551187,330,897.925049
1094.651419,324,898.877636
1108.056355,329,899.885922
1117.011663,330,900.892638
1113.515111,331,901.838707
1117.16936,331,904.560431
1098.395375,327,905.471967
1113.915086,329,906.381873
1110.379527,330,907.369645
1115.437443,330,908.382594
1111.864615,330,909.433402
1113.855106,328,910.439217
1115.472862,327,913.303853
1115.585514,330,914.263721
1125.8654,330,915.158141
1120.847862,331,916.04763
1120.541553,329,916.9289
1119.051188,332,917.808983
1117.477446,330,920.617625
1122.93795,331,921.604337
1118.69567,329,922.590153
1131.97546,332,923.547373
1107.625893,331,924.501416
1111.12782,326,925.436991
1124.824645,331,928.394138
1116.030025,328,929.326836
1125.251925,332,930.171688
1113.591051,329,931.015584
1119.584602,332,931.837849
1127.681825,331,932.83699
1120.086228,329,935.539661
1129.428454,332,936.421701
1131.392873,333,937.26301
1111.842076,329,938.106835
1107.042709,328,938.943247
1131.276254,335,939.84215
1127.915063,332,942.373282
1129.284533,331,943.435093
1129.412423,332,944.379148
1120.570014,332,945.288186
1122.60805,331,946.209429
1123.744707,330,947.110289
1134.432338,332,948.006574
1127.893367,331,950.944844
1128.490231,332,952.020756
1117.931759,330,953.032262
1115.538322,329,953.969182
1132.79897,333,954.926583
1130.130907,333,956.034986
1126.206812,330,959.084095
1133.539318,332,960.076784
1117.151494,329,961.064808
1113.658312,331,962.077437
1127.828112,331,963.006421
1136.981232,333,964.084909
1119.979951,329,967.02584
1126.602417,331,967.912864
1116.813974,328,968.799671
1108.425498,331,969.774705
1128.417126,331,970.830377
1117.939852,330,971.87915
1129.957195,331,974.81393
1121.140335,329,975.909128
1117.985449,331,976.975248
1123.637629,330,977.983336
1142.285349,334,978.947974
1133.970753,332,979.927969
1123.378943,330,982.824867
1116.033462,330,983.867748
1118.456826,328,984.826481
1129.354711,331,985.803362
1118.767821,329,986.812244
1138.547898,334,987.782157
1126.066602,330,988.727559
1124.798346,331,991.414379
